Simulation,Data Size (TB),ESGF Links,HPSS Path
LE_historical_ens20,24,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22historical%22%2C%22variant_label%22%3A%22r20i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_historical_ens20
LE_ssp370_ens1,5,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22ssp370%22%2C%22variant_label%22%3A%22r1i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_ssp370_ens1
LE_ssp370_ens2,5,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22ssp370%22%2C%22variant_label%22%3A%22r2i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_ssp370_ens2
LE_ssp370_ens3,5,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22ssp370%22%2C%22variant_label%22%3A%22r3i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_ssp370_ens3
LE_ssp370_ens4,5,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22ssp370%22%2C%22variant_label%22%3A%22r4i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_ssp370_ens4
LE_ssp370_ens5,5,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22ssp370%22%2C%22variant_label%22%3A%22r5i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_ssp370_ens5
LE_ssp370_ens6,5,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22ssp370%22%2C%22variant_label%22%3A%22r6i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_ssp370_ens6
LE_ssp370_ens7,5,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22ssp370%22%2C%22variant_label%22%3A%22r7i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_ssp370_ens7
LE_ssp370_ens8,5,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22ssp370%22%2C%22variant_label%22%3A%22r8i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_ssp370_ens8
LE_ssp370_ens9,5,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22ssp370%22%2C%22variant_label%22%3A%22r9i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_ssp370_ens9
LE_ssp370_ens10,5,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22ssp370%22%2C%22variant_label%22%3A%22r10i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_ssp370_ens10
LE_ssp370_ens11,5,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22ssp370%22%2C%22variant_label%22%3A%22r11i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_ssp370_ens11
LE_ssp370_ens12,5,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22ssp370%22%2C%22variant_label%22%3A%22r12i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_ssp370_ens12
LE_ssp370_ens13,5,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22ssp370%22%2C%22variant_label%22%3A%22r13i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_ssp370_ens13
LE_ssp370_ens14,5,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22ssp370%22%2C%22variant_label%22%3A%22r14i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_ssp370_ens14
LE_ssp370_ens15,5,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22ssp370%22%2C%22variant_label%22%3A%22r15i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_ssp370_ens15
LE_ssp370_ens16,5,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22ssp370%22%2C%22variant_label%22%3A%22r16i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_ssp370_ens16
LE_ssp370_ens17,5,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22ssp370%22%2C%22variant_label%22%3A%22r17i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_ssp370_ens17
LE_ssp370_ens18,5,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22ssp370%22%2C%22variant_label%22%3A%22r18i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_ssp370_ens18
LE_ssp370_ens19,5,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22ssp370%22%2C%22variant_label%22%3A%22r19i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_ssp370_ens19
LE_ssp370_ens20,5,https://esgf-node.ornl.gov/search?project=CMIP6&activeFacets=%7B%22institution_id%22%3A%22UCSB%22%2C%22source_id%22%3A%22E3SM-1-0%22%2C%22experiment_id%22%3A%22ssp370%22%2C%22variant_label%22%3A%22r20i2p2f1%22%7D,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/LE_ssp370_ens20
20190807.DECKv1b_P1_SSP5-8.5.ne30_oEC.cori-knl,8,,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/20190807.DECKv1b_P1_SSP5-8.5.ne30_oEC.cori-knl
20190821.DECKv1b_P2_SSP5-8.5.ne30_oEC.cori-knl,8,,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/20190821.DECKv1b_P2_SSP5-8.5.ne30_oEC.cori-knl
20190821.DECKv1b_P3_SSP5-8.5.ne30_oEC.cori-knl,8,,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/20190821.DECKv1b_P3_SSP5-8.5.ne30_oEC.cori-knl
20190821.DECKv1b_P4_SSP5-8.5.ne30_oEC.cori-knl,8,,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/20190821.DECKv1b_P4_SSP5-8.5.ne30_oEC.cori-knl
20190821.DECKv1b_P5_SSP5-8.5.ne30_oEC.cori-knl,8,,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/20190821.DECKv1b_P5_SSP5-8.5.ne30_oEC.cori-knl
20191019.DECKv1b_P1_SSP5-8.5-GHG.ne30_oEC.cori-knl,8,,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/20191019.DECKv1b_P1_SSP5-8.5-GHG.ne30_oEC.cori-knl
20191019.DECKv1b_P2_SSP5-8.5-GHG.ne30_oEC.cori-knl,8,,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/20191019.DECKv1b_P2_SSP5-8.5-GHG.ne30_oEC.cori-knl
20191019.DECKv1b_P3_SSP5-8.5-GHG.ne30_oEC.cori-knl,9,,/home/projects/e3sm/www/WaterCycle/E3SMv1/LR/20191019.DECKv1b_P3_SSP5-8.5-GHG.ne30_oEC.cori-knl
theta.20180906.branch_noCNT.A_WCYCL1950S_CMIP6_HR.ne120_oRRS18v3_ICG,159,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/theta.20180906.branch_noCNT.A_WCYCL1950S_CMIP6_HR.ne120_oRRS18v3_ICG
theta.20190910.branch_noCNT.n438b.unc03.A_WCYCL1950S_CMIP6_HR.ne120_oRRS18v3_ICG,103,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/theta.20190910.branch_noCNT.n438b.unc03.A_WCYCL1950S_CMIP6_HR.ne120_oRRS18v3_ICG
theta.20190910.branch_noCNT.n825def.unc06.A_WCYCL1950S_CMIP6_HR.ne120_oRRS18v3_ICG,337,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/theta.20190910.branch_noCNT.n825def.unc06.A_WCYCL1950S_CMIP6_HR.ne120_oRRS18v3_ICG
20210112.A_WCYCL1950S_CMIP6_HR.ne120_oRRS18v3_ICG.unc06,56,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/20210112.A_WCYCL1950S_CMIP6_HR.ne120_oRRS18v3_ICG.unc06
20200517-maint-1.0-tro.A_WCYCL20TRS_CMIP6_HR.ne120_oRRS18v3_ICG.unc11,103,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/20200517-maint-1.0-tro.A_WCYCL20TRS_CMIP6_HR.ne120_oRRS18v3_ICG.unc11
202101027-maint-1.0-tro.A_WCYCL20TRS_CMIP6_HR.ne120_oRRS18v3_ICG.unc12,96,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/202101027-maint-1.0-tro.A_WCYCL20TRS_CMIP6_HR.ne120_oRRS18v3_ICG.unc12
20190509.A_WCYCL1950S_CMIP6_LRtunedHR.ne30_oECv3_ICG.anvil,4,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/20190509.A_WCYCL1950S_CMIP6_LRtunedHR.ne30_oECv3_ICG.anvil
20210104.maint-1.0-A_WCYCL20TRS_CMIP6_LRtunedHR.ne30_oECv3_ICG.cori-knl.unc11,11,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/20210104.maint-1.0-A_WCYCL20TRS_CMIP6_LRtunedHR.ne30_oECv3_ICG.cori-knl.unc11
cori-knl.20190214_maint-1.0.F2010-CMIP6-HR.dailySST.noCNT.ne120_oRRS18v3,3,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/cori-knl.20190214_maint-1.0.F2010-CMIP6-HR.dailySST.noCNT.ne120_oRRS18v3
cori-knl.20190214_maint-1.0.F2010-CMIP6-HR.noCNT.ARE.nudgeUV.ne120_oRRS18v3,2,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/cori-knl.20190214_maint-1.0.F2010-CMIP6-HR.noCNT.ARE.nudgeUV.ne120_oRRS18v3
cori-knl.20190214_maint-1.0.F2010-CMIP6-HR.dailySSTplus4K.noCNT.ne120_oRRS18v3,3,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/cori-knl.20190214_maint-1.0.F2010-CMIP6-HR.dailySSTplus4K.noCNT.ne120_oRRS18v3
cori-knl.20190214_maint-1.0.F2010C5-CMIP6-HR.ARE.nudgeUV.1850aero.ne120_oRRS18v3,2,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/cori-knl.20190214_maint-1.0.F2010C5-CMIP6-HR.ARE.nudgeUV.1850aero.ne120_oRRS18v3
cori-haswell.20190513.F2010C5-CMIP6-LR.ne30_oECv3,0,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/cori-haswell.20190513.F2010C5-CMIP6-LR.ne30_oECv3
edison.20190415_maint-1.0.F2010C5-CMIP6-LR.ARE.nudgeUV.ne30_oECv3,0,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/edison.20190415_maint-1.0.F2010C5-CMIP6-LR.ARE.nudgeUV.ne30_oECv3
edison.20190415_maint-1.0.F2010C5-CMIP6-LR.ARE.nudgeUV.1850aero.ne30_oECv3,0,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/edison.20190415_maint-1.0.F2010C5-CMIP6-LR.ARE.nudgeUV.1850aero.ne30_oECv3
cori-haswell.20190513.F2010C5-CMIP6-LR.plus4K.ne30_oECv3,0,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/cori-haswell.20190513.F2010C5-CMIP6-LR.plus4K.ne30_oECv3
cori-haswell.20190513.F2010LRtunedHR.noCNT.ne30_oECv3,0,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/cori-haswell.20190513.F2010LRtunedHR.noCNT.ne30_oECv3
cori-haswell.20190513.F2010LRtunedHR.noCNT.ARE.nudgeUV.ne30_oECv3,0,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/cori-haswell.20190513.F2010LRtunedHR.noCNT.ARE.nudgeUV.ne30_oECv3
cori-haswell.20190513.F2010LRtunedHR.noCNT.ARE.nudgeUV.1850aero.ne30_oECv3,0,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/cori-haswell.20190513.F2010LRtunedHR.noCNT.ARE.nudgeUV.1850aero.ne30_oECv3
cori-haswell.20190513.F2010LRtunedHR.plus4K.noCNT.ne30_oECv3,0,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/cori-haswell.20190513.F2010LRtunedHR.plus4K.noCNT.ne30_oECv3
20211021-maint-1.0-tro.A_WCYCLSSP585_CMIP6_HR.ne120_oRRS18v3_ICG.unc12-3rd-attempt,113,,/home/projects/e3sm/www/WaterCycle/E3SMv1/HR/20211021-maint-1.0-tro.A_WCYCLSSP585_CMIP6_HR.ne120_oRRS18v3_ICG.unc12-3rd-attempt
